block,trial,subj,trialType,cue,probe,response,rt,accuracy
2,51,s998,NG,nan,nan,nan,nan,nan
2,52,s998,BY,nan,nan,nan,nan,nan
2,53,s998,BY,nan,nan,nan,nan,nan
2,54,s998,AX,nan,nan,nan,nan,nan
2,55,s998,AY,nan,nan,nan,nan,nan
2,56,s998,BY,nan,nan,nan,nan,nan
2,57,s998,BY,nan,nan,nan,nan,nan
2,58,s998,AX,nan,nan,nan,nan,nan
2,59,s998,BX,nan,nan,nan,nan,nan
2,60,s998,BY,nan,nan,nan,nan,nan
2,61,s998,BY,nan,nan,nan,nan,nan
3,0,s998,AY,nan,nan,nan,nan,nan
3,1,s998,AX,nan,nan,nan,nan,nan
3,2,s998,NG,nan,nan,nan,nan,nan
3,3,s998,BY,nan,nan,nan,nan,nan
3,4,s998,NG,nan,nan,nan,nan,nan
3,5,s998,NG,nan,nan,nan,nan,nan
3,6,s998,BX,nan,nan,nan,nan,nan
3,7,s998,AX,nan,nan,nan,nan,nan
3,8,s998,AX,nan,nan,nan,nan,nan
3,9,s998,BY,nan,nan,nan,nan,nan
3,10,s998,BY,nan,nan,nan,nan,nan
3,11,s998,AX,nan,nan,nan,nan,nan
3,12,s998,BY,nan,nan,nan,nan,nan
3,13,s998,AY,nan,nan,nan,nan,nan
3,14,s998,NG,nan,nan,nan,nan,nan
3,15,s998,BY,nan,nan,nan,nan,nan
3,16,s998,BY,nan,nan,nan,nan,nan
3,17,s998,AY,nan,nan,nan,nan,nan
3,18,s998,NG,nan,nan,nan,nan,nan
3,19,s998,BY,nan,nan,nan,nan,nan
3,20,s998,AX,nan,nan,nan,nan,nan
3,21,s998,BX,nan,nan,nan,nan,nan
3,22,s998,BY,nan,nan,nan,nan,nan
3,23,s998,BY,nan,nan,nan,nan,nan
3,24,s998,AX,nan,nan,nan,nan,nan
3,25,s998,BX,nan,nan,nan,nan,nan
3,26,s998,NG,nan,nan,nan,nan,nan
3,27,s998,BX,nan,nan,nan,nan,nan
3,28,s998,AX,nan,nan,nan,nan,nan
3,29,s998,AX,nan,nan,nan,nan,nan
3,30,s998,BX,nan,nan,nan,nan,nan
3,31,s998,AY,nan,nan,nan,nan,nan
3,32,s998,AX,nan,nan,nan,nan,nan
3,33,s998,AY,nan,nan,nan,nan,nan
3,34,s998,BY,nan,nan,nan,nan,nan
3,35,s998,NG,nan,nan,nan,nan,nan
3,36,s998,AX,nan,nan,nan,nan,nan
3,37,s998,AX,nan,nan,nan,nan,nan
3,38,s998,NG,nan,nan,nan,nan,nan
3,39,s998,AX,nan,nan,nan,nan,nan
